network_age,Aggregate_Total_Rev,Aggregate_SMS_Rev,Aggregate_Data_Rev,Aggregate_Data_Vol,Aggregate_Calls,Aggregate_ONNET_REV,Aggregate_OFFNET_REV,Aggregate_complaint_count,aug_user_type,sep_user_type,aug_fav_a,sep_fav_a,Class
5334,875.4,0,0,52633.2686,1460,0,0,1,3G,3G,warid,ufone,Active
5346,2065.94,0,142.5,3881919.986,618,3657,4301,1,3G,3G,ufone,ufone,Active
5349,1213.5504,9.48,0,151202.7188,379,3227,23159,1,Other,Other,ufone,ufone,Active
5356,1424.17,105.77,192.5,90541.0771,52,17843,6083,1,3G,3G,telenor,ufone,Active
5363,1321.3504,0,0,637.3896,1514,239,0,1,Other,Other,ptcl,ufone,Active
5363,922.718,11.23,32.5,1838701.68,929,0,0,3,,,zong,ufone,Active
2700,1574.79,0,210,2622898.699,464,250,1331,2,,,ptcl,ufone,Active
-8,485.7008,21.34,0,2327900.778,607,0,179,1,Other,Other,telenor,ufone,Churned
-5,857.1008,63.47,190.03,1565901.139,204,716,1240,1,3G,3G,telenor,telenor,Churned
-4,2898.824,25.1,1.25,305853.3282,642,0,82221,1,3G,3G,mobilink,warid,Churned
-3,307.1204,6.25,75,345076.2626,9,477,1284,3,3G,3G,zong,ufone,Churned
-2,130.578,94.85,1.25,2.1953,7,150,1121,1,Other,Other,ufone,ufone,Churned
6,468.4244,31.64,20,2772.2129,73,3504,19404,2,3G,3G,mobilink,mobilink,Active
101,529.9904,42,18.75,88869.6904,49,792,1716,1,,3G,mobilink,ufone,Active
102,526.86,26.25,1.25,1021022.577,38,348,5196,1,,,zong,ptcl,Active
102,1527.4212,0,0,5756.7803,174,116328,13740,2,2G,2G,ufone,ufone,Active
103,153.7964,3.5,8.75,22028.7754,34,5244,4452,1,Other,Other,ufone,ufone,Active
106,245.256,107.35,12.5,115584.9189,11,0,1949,2,,3G,ptcl,ptcl,Churned
108,707.7408,56.73,15,200597.3955,88,3936,3415,2,,3G,mobilink,ufone,Active
109,487.4,3.5,45,52642.8291,33,120,0,3,,3G,telenor,ptcl,Active
109,224.6564,120.75,0,856.3242,16,2700,2735,2,2G,2G,telenor,ufone,Active
109,486.64,0,0,99298.3027,200,0,2484,1,,3G,0,ufone,Active
110,1090.5,1.75,0,14.9102,303,22176,71699,2,2G,2G,zong,mobilink,Active
110,478.43,50.75,0,262430.7578,137,0,14280,1,,3G,zong,ufone,Active
110,13.85,0.01,10,693.2861,3,240,120,3,2G,2G,ufone,ufone,Churned
111,292.35,164.5,0,1017.6211,43,2064,8879,1,,3G,mobilink,zong,Churned
111,59.3204,11.97,0,6944.3086,15,564,2915,1,,,ufone,telenor,Churned
112,962.88,382.37,20,465265.4814,187,6132,755,1,,3G,telenor,ufone,Active
114,183.84,1.76,0,6509.1582,44,3012,3534,2,2G,3G,ptcl,ufone,Active
114,549.51,7.18,0,13.1279,195,17148,19569,2,Other,Other,telenor,ufone,Active
114,272.67,57.75,22.5,24673.2725,60,3864,7401,2,,3G,zong,ufone,Active
114,532.026,1.75,46.25,4378.7695,131,11100,30285,1,3G,3G,telenor,mobilink,Churned
114,356.41,102.55,36.25,61200.8525,51,1632,10762,1,3G,3G,ufone,warid,Churned
116,517.79,0,40,4692574.159,53,3408,2648,1,,3G,mobilink,ufone,Active
116,369.39,1.75,20,2447.8164,10,120,7079,1,,3G,ufone,telenor,Active
116,832.0504,145.25,26.25,1949698.94,127,1800,3094,2,,3G,zong,ufone,Active
117,528.158,0,25,1294.5195,96,18144,16380,1,Other,Other,mobilink,ufone,Active
117,475.9704,81.37,0,4282439.772,28,1056,19584,4,,3G,warid,ptcl,Active
117,706.486,54.25,0,66691.7031,254,5076,15228,2,Other,Other,telenor,ufone,Active
117,49.67,0,38.75,6941.0615,1,0,1092,1,,3G,mobilink,mobilink,Active
118,175.29,101.67,2.5,114262.0723,18,3588,1920,3,,3G,mobilink,ufone,Active
118,580.58,38.5,12.5,328089.8887,105,5352,2568,4,,3G,ptcl,ufone,Active
120,780.2324,4.46,2.5,647824.2949,168,1656,26230,2,,3G,zong,ufone,Active
120,878.72,294,6.25,696816.2705,77,2208,419,3,Other,Other,mobilink,ufone,Active
122,634.558,9.36,43.75,2599025.296,335,8340,4168,2,,3G,ufone,ufone,Active
122,677.56,24.94,1.25,303483.6201,242,5544,5363,1,,3G,warid,ufone,Active
122,335.3816,5.25,40,2088.7676,160,15252,1052,2,Other,Other,ufone,ufone,Churned
123,76.714,0,1.25,1.4951,14,564,6408,2,2G,2G,ufone,mobilink,Active
123,27.51,1.75,17.5,398.6514,5,348,478,1,,3G,ufone,ufone,Active
123,669.11,14.83,0,11813558.28,113,684,15331,5,3G,3G,ufone,ufone,Active
126,718.68,0.01,10,80579.5869,179,7008,14016,1,,3G,ptcl,ufone,Active
127,840.952,59.85,21.25,465585.9326,190,25272,2736,2,,3G,mobilink,ufone,Active
127,326.858,1.75,85,11379472.08,5,0,777,11,3G,3G,mobilink,ptcl,Active
127,290.3704,0,103.75,15494980.65,16,0,4424,1,3G,3G,ptcl,ptcl,Churned
130,1204.37,38.67,7.5,4052732.772,163,71208,4545,2,3G,3G,ufone,ufone,Active
130,838.268,5.98,3.75,12358480.18,304,22380,5254,4,3G,3G,mobilink,ufone,Active
131,1665.936,36.75,58.75,3492537.176,205,672,11495,1,3G,3G,telenor,ufone,Active
132,1674.63,14,7.5,7.916,346,93336,3117,1,Other,Other,ufone,ufone,Active
132,924.46,23.66,0,805565.3593,135,0,1163,1,3G,3G,ptcl,ufone,Active
132,180.238,0,1.25,49.0645,112,3504,3888,1,Other,Other,mobilink,ufone,Active
133,643.59,40.88,3.75,371358.8438,69,9096,11546,2,3G,3G,zong,ufone,Active
133,1044.86,19.25,6.25,464449.6962,161,2748,2208,1,,,telenor,ufone,Active
133,596.63,0,0,1150.4736,166,2304,1512,2,2G,2G,ufone,ufone,Active
134,812.5,73.68,8.75,663969.1299,554,27228,765,1,3G,3G,zong,ufone,Active
135,1073.288,0.01,158.75,41440817.15,114,1248,3086,1,3G,3G,telenor,ufone,Active
135,1321.8248,308.42,218.75,95368.5029,235,21096,34919,1,3G,3G,zong,zong,Active
136,270.3344,6.58,2.5,7410.7529,62,9504,10820,1,,,ptcl,zong,Active
137,487.022,0,51.25,3837.4932,228,23760,12960,1,Other,Other,mobilink,ufone,Active
137,546.47,14,1.25,55356187.34,52,1428,16702,2,3G,3G,ufone,warid,Active
137,196.59,0,0,38424.5,40,14904,2098,1,Other,Other,mobilink,ufone,Churned
138,223.7996,74.24,38.75,21134.9131,51,4488,4607,1,2G,2G,warid,ufone,Active
138,1266.75,1.75,68.75,9974712.357,193,26400,6066,2,3G,3G,0,ufone,Active
139,1294.1368,446.55,65,457645.7227,255,12216,8148,2,2G,2G,mobilink,ufone,Active
140,841.154,159.89,23.75,1048012.564,244,5964,6527,2,3G,3G,zong,ufone,Active
140,593.9008,3.5,35,1202513.707,46,11784,4644,3,3G,3G,mobilink,ufone,Churned
142,241.588,0,0,10972.0264,37,6816,5400,1,2G,2G,warid,ufone,Active
142,444.16,3.5,0,50.8291,128,16416,14382,1,Other,Other,0,ufone,Churned
143,1505.19,0,22.5,315423.7041,372,0,14567,1,3G,3G,telenor,ufone,Active
145,1229.7016,71.49,220,1904637.535,122,10428,6843,1,3G,3G,ptcl,ufone,Active
146,1573.46,204.29,2.5,109153.8418,186,20352,24971,1,3G,3G,zong,ufone,Active
147,1379.5908,293.14,143.75,1495256.854,67,5316,10186,2,3G,3G,warid,ufone,Active
149,911.2984,134.59,67.5,13956.0303,226,29724,23748,1,2G,2G,ptcl,ufone,Active
150,4447.86,161.38,358.75,8276490.735,410,4344,24045,2,3G,3G,ufone,ufone,Active
151,1191.54,23.48,0,48385.6914,662,24468,4176,2,3G,3G,zong,ufone,Active
151,1507.77,0,0,63.7432,524,2436,31296,1,3G,3G,telenor,ufone,Active
151,1060.24,53.7,0,800027.0616,593,6804,5568,1,Other,Other,ptcl,ufone,Active
151,899.6324,4.7,148.75,39960102.3,33,168,3921,1,3G,3G,mobilink,ptcl,Active
152,915.73,0,1.25,284724.6142,172,2400,240,1,3G,3G,telenor,ufone,Active
152,1349.06,0,3.75,936196.6514,721,912,814,2,3G,3G,telenor,ufone,Active
153,2500.2664,86.61,881.25,167937.0596,279,5124,60741,3,2G,2G,zong,warid,Churned
155,609.864,4.1,102.5,44579175.13,64,1524,9262,1,3G,3G,zong,mobilink,Active
155,1522.614,348.02,1.25,5.0078,290,20568,74948,1,2G,2G,ptcl,ufone,Churned
157,1031.2108,57.62,121.25,3274262.34,139,9732,11445,4,2G,3G,ufone,ufone,Churned
158,1164.3672,27.12,82.5,14264167.72,139,1416,20517,3,3G,3G,ufone,ufone,Active
160,89.22,23.9,0,1436.1211,29,36,1988,2,,,warid,ptcl,Churned
161,1109.198,22.64,6.25,978.1816,385,11700,67635,1,Other,Other,zong,zong,Churned
165,1732.28,0,12.5,668292.3877,484,0,71928,2,3G,3G,ufone,mobilink,Active
165,282.898,16.74,36.25,135136.9355,23,36,4000,1,3G,3G,zong,ptcl,Churned
167,885.4856,33.53,108.75,462925.0332,157,3732,26674,1,Other,Other,telenor,ptcl,Churned
168,738.564,25.65,0,49.0908,582,0,1977,1,2G,2G,mobilink,ufone,Churned
168,46.28,19.35,8.75,29.4697,2,0,358,1,Other,Other,ptcl,ptcl,Churned
168,1366.02,91.22,0,890476.2061,570,7260,98932,2,3G,3G,telenor,warid,Churned
170,1126.066,24.38,0,1142353.187,641,0,11482,1,3G,3G,ptcl,ufone,Churned
173,1300.67,50.23,3.75,1388410.418,283,0,13031,1,3G,3G,ptcl,ufone,Active
174,65.77,11.31,20,22041.8564,16,624,2219,1,Other,Other,ptcl,ufone,Churned
175,223.198,18.54,38.75,42489.2178,42,816,2659,1,Other,Other,telenor,ufone,Churned
179,2207.1,121.58,41.25,870912.4199,934,3384,97424,2,3G,3G,warid,ufone,Churned
179,1218.572,188.59,0,18.4258,317,30120,25354,1,3G,3G,ufone,ptcl,Churned
180,687.11,136.56,22.5,17036.7813,143,1956,11768,1,2G,2G,mobilink,mobilink,Churned
185,294.176,58.02,13.75,3282096.069,106,1368,6905,1,Other,Other,mobilink,ufone,Churned
189,649.86,10.76,1.25,64,281,4530,45501,1,,,mobilink,mobilink,Churned
190,265.488,20.87,25,793556.3418,71,3834,7526,1,2G,2G,zong,ufone,Churned
191,1883.538,30.02,53.75,3586373.606,893,12444,30599,17,3G,3G,ufone,ufone,Active
191,96.72,0,20,311388.7041,2,0,358,11,3G,3G,ptcl,ptcl,Active
192,1004.496,7.17,195,2120247.791,148,6060,19572,1,Other,Other,zong,ufone,Churned
192,845.9964,26.95,1.25,6248.2051,138,1986,26787,1,,,0,ptcl,Churned
195,78.244,31.07,10,479.1865,19,1980,1211,1,3G,3G,zong,zong,Churned
196,2443.14,567.38,17.5,885136.6631,777,0,52238,1,3G,3G,warid,ufone,Active
197,206.1416,6.12,7.5,300.4922,19,780,3853,21,3G,3G,ufone,ptcl,Churned
197,488.28,110.27,11.25,42615.9326,35,720,2652,1,3G,3G,ufone,telenor,Churned
197,64.508,23.9,6.25,334.6318,4,0,716,1,3G,2G,ptcl,ptcl,Churned
198,70.528,26.52,0,222280.8135,37,240,3156,1,,,ufone,telenor,Churned
198,244.71,73.2,2.5,38.9355,52,0,8628,1,,,telenor,ptcl,Churned
204,93.26,16.73,53.75,15207.4532,6,216,830,1,Other,Other,telenor,ptcl,Churned
206,174.9788,25.07,35,3064741.425,35,906,3993,1,3G,2G,ptcl,warid,Churned
206,902.388,64.39,68.75,710991.4942,55,3450,9335,2,3G,3G,zong,ptcl,Churned
210,30.7884,7.17,0,702.4287,9,348,1547,1,2G,2G,ptcl,ptcl,Churned
212,209.9748,16.73,2.5,128786.4131,21,240,4369,2,2G,2G,ptcl,ptcl,Churned
224,599.6892,38.84,8.75,693812.3477,299,4668,4619,5,3G,3G,warid,ptcl,Churned
227,219.904,33.75,3.75,35845.0654,55,858,7990,1,2G,2G,ufone,ufone,Churned
228,473.6044,12.78,0,529965.1299,106,216,1630,1,2G,2G,ptcl,ptcl,Churned
231,705.6384,18.27,0,832.5762,367,10740,9398,1,Other,Other,ufone,ufone,Churned
240,1256.908,28.98,136.25,15313555.78,346,2184,64119,1,3G,3G,mobilink,telenor,Churned
249,641.4,8.92,2.5,53.6611,155,5166,43660,1,Other,Other,0,telenor,Churned
266,1033.3,28.17,23.75,267228.8955,136,18492,20333,1,,3G,ptcl,ufone,Churned
284,1509.52,69.61,78.75,13476288.06,104,486,32602,1,3G,3G,warid,telenor,Churned
343,254.3396,24.37,3.75,51044.1719,71,114,12691,1,2G,2G,zong,ptcl,Churned
344,43.87,21.51,0,106.6865,1,0,179,1,,,ptcl,ptcl,Churned
345,1659.2812,9.56,140,46951698.56,150,168,33614,1,3G,3G,ufone,zong,Churned
358,1788.5264,5.25,11.25,1511567.094,791,0,48461,1,3G,3G,ptcl,ufone,Active
358,270.4684,60.32,1.25,4.8496,48,1524,8093,1,2G,2G,ufone,zong,Churned
363,1097.2004,83.52,25,459614.2197,415,0,22808,1,3G,3G,mobilink,ptcl,Churned
366,1301.1488,24.46,0,266689.4639,1128,14670,32948,2,Other,Other,ptcl,ufone,Churned
369,1827.44,51.99,0,941.4883,1086,11064,62435,1,Other,Other,zong,ufone,Churned
369,159.754,16.73,8.75,4868.1738,12,636,2105,1,Other,Other,zong,ufone,Churned
377,897.34,0,0,1376099.551,694,0,179,1,3G,3G,telenor,ufone,Active
381,193.372,28.04,10,16683.5547,26,3612,5064,1,3G,3G,ufone,ufone,Churned
382,556.27,5.25,61.25,39093342.14,30,216,8851,3,3G,3G,mobilink,zong,Active
396,85.4004,11.95,27.5,1819.7568,21,108,2657,1,2G,2G,ptcl,telenor,Churned
397,2054.47,333.43,113.75,2759253.945,385,0,358,1,3G,3G,ufone,ufone,Churned
397,155.446,28.98,1.25,0.2344,31,3636,5202,1,,,ptcl,ptcl,Churned
406,409.3764,37.98,0,99516.6015,63,2718,10584,1,3G,3G,zong,warid,Churned
418,1132.1364,66.17,31.25,2477681.597,686,4176,26548,1,,,ufone,ufone,Active
421,2246.29,166.34,386.25,3563653.769,116,12570,20535,1,2G,2G,mobilink,ufone,Active
422,1170.17,27.4,7.5,106.0205,293,4434,91967,1,2G,2G,ufone,mobilink,Churned
425,528.79,7.17,20,1049095.424,499,0,2029,1,3G,3G,zong,ufone,Churned
427,299.2504,28.51,0,586820.2129,89,11136,5742,2,3G,3G,ufone,ufone,Churned
429,995.16,72.56,0,1.6973,199,28218,50123,1,2G,3G,ptcl,ufone,Churned
435,1328.28,25.1,6.25,2763981.172,545,1728,15100,1,3G,3G,ufone,ufone,Churned
439,1044.6304,97.29,23.75,1020.6504,420,24636,47789,2,3G,3G,warid,warid,Churned
441,1804.4156,0,643.75,25808729.15,31,576,3376,2,2G,2G,ufone,ufone,Active
443,544.138,16.01,3.75,1248844.508,241,0,4589,1,3G,3G,ptcl,ufone,Churned
445,553.47,33.85,32.5,115799.9854,375,822,892,1,3G,3G,zong,ptcl,Churned
447,1062.624,0.6,51.25,7412235.206,420,0,358,3,3G,3G,telenor,ufone,Active
455,975.462,28.69,27.5,424396.3096,507,1368,27927,1,Other,Other,ptcl,ufone,Churned
460,56.06,33.46,0,337.5703,4,0,586,1,2G,2G,mobilink,ptcl,Churned
469,497.632,43.03,3.75,2.6367,123,11724,17042,1,2G,2G,telenor,ptcl,Churned
471,212.668,13.7,25,435252.5381,2,0,358,1,3G,3G,ptcl,ptcl,Churned
473,1229.6324,37.08,75,5429409.755,537,16344,51046,1,3G,,warid,mobilink,Churned
476,780.27,131.99,2.5,247180.4541,197,9108,3604,1,3G,3G,ufone,ufone,Churned
480,1484.88,11.95,3.75,834886.3204,762,0,7167,1,3G,3G,warid,ufone,Active
485,48.0664,20.87,2.5,1061014.036,4,0,716,1,Other,Other,ptcl,ptcl,Churned
508,6698.9676,22.75,107.5,980645.2842,1378,42894,330409,3,3G,3G,mobilink,mobilink,Active
508,724.5,19.59,98.75,158624.3037,43,10926,12466,5,3G,3G,mobilink,ufone,Churned
510,55.25,27.4,0,474528.2129,33,0,716,1,Other,Other,ptcl,ptcl,Churned
536,593.942,39.65,18.75,802.1836,260,12534,25906,1,3G,3G,telenor,ufone,Churned
539,766.114,21.51,0,1671248.18,324,0,537,1,3G,2G,zong,ufone,Churned
546,85.65,13.7,0,48.4814,17,420,5459,1,,,telenor,mobilink,Churned
558,144.2248,21.51,0,365187.3711,51,672,2620,2,Other,Other,ptcl,mobilink,Churned
558,29.5464,7.17,0,19.1533,4,12,444,1,2G,2G,ufone,mobilink,Churned
565,888.8744,19.04,1.25,179826.9209,478,1182,4768,1,Other,Other,ptcl,ufone,Churned
569,236.6284,18.48,20,9040.2402,52,6786,8545,3,3G,3G,ptcl,ptcl,Active
579,34.092,17.29,5,8.9033,5,762,179,1,Other,Other,ptcl,ptcl,Churned
579,1020.7932,82.35,63.75,23957.9805,189,16452,31707,2,2G,2G,mobilink,ufone,Churned
586,377.018,86.78,62.5,311391.1025,19,228,3329,1,3G,3G,ptcl,ptcl,Churned
590,43.342,29.62,5,139.3408,3,0,537,2,3G,3G,ptcl,ptcl,Churned
591,3140.62,13.15,82.5,31389830.49,550,600,7083,1,3G,3G,telenor,ufone,Active
594,656.504,313.8,0,25.2627,78,6036,14865,2,2G,2G,mobilink,ptcl,Churned
609,12.55,4.78,0,1056.668,1,0,179,1,3G,3G,ptcl,ptcl,Churned
618,1362.3,17.16,1.25,537425.1895,395,9666,52703,1,3G,3G,ptcl,ufone,Churned
626,1574.52,11.96,43.75,2012374.152,134,0,895,2,3G,3G,zong,ufone,Churned
2140,1363.68,11.95,0,742488.541,590,0,1114,1,3G,3G,mobilink,ufone,Churned
103,263.5,0,0,7285.9961,82,20640,1202,2,2G,2G,ufone,ufone,Churned
111,574.92,9.62,62.5,834169.5957,99,1980,4019,1,Other,Other,ptcl,ufone,Churned
117,136.13,0,8.75,533977.6279,14,6192,358,2,,3G,ufone,ufone,Active
119,75.736,0.02,52.5,355209.9775,5,0,836,2,,3G,mobilink,ptcl,Churned
141,810.7,11.37,142.5,2543055.027,159,21708,15127,1,3G,3G,mobilink,ufone,Active
143,721.938,48.08,1.25,0.8584,225,24774,2160,1,2G,2G,ufone,ufone,Active
143,449.17,0,96.25,1074996.378,9,24,732,1,3G,3G,ufone,ufone,Churned
164,808.68,112.53,86.25,16732.7481,176,13704,12790,5,3G,3G,ptcl,ufone,Active
195,199.3784,24.16,0,269214.8594,2,0,395,1,Other,Other,ptcl,ptcl,Churned
331,1468.37,163.61,737.5,285336.3916,87,9894,15250,2,3G,3G,mobilink,ufone,Churned
365,449.6384,7,127.5,20118693.29,11,60,1046,3,3G,3G,telenor,ufone,Active
385,755.954,0,21.25,8305154.895,5,48,179,1,3G,3G,ufone,ufone,Active
388,121.9328,29.79,26.25,7794.5664,13,420,4280,1,Other,Other,mobilink,mobilink,Churned
411,488.5264,28.68,0,254002.6962,117,0,623,1,3G,3G,telenor,zong,Churned
570,2388.8,7.73,33.75,19157236.63,11,1308,892,1,3G,3G,ufone,ufone,Active
631,365.9408,131.69,43.75,3084.3545,33,36,7018,1,,3G,telenor,telenor,Active
654,2559.4616,87.48,175,9842255.198,549,10608,91331,1,3G,3G,mobilink,warid,Active
666,1966.34,12.94,188.75,8275915.011,29,9690,3770,1,3G,3G,zong,ufone,Active
1030,151.37,3.5,1.25,1.7822,44,10944,1475,3,Other,Other,telenor,ufone,Churned
1282,320.47,133,8.75,2.8711,51,492,11376,1,3G,3G,mobilink,warid,Churned
4061,2551.14,128.25,1.25,8157386.301,292,13854,6774,1,3G,3G,zong,ufone,Active
95,140.1,29.75,8.75,24842.1104,29,360,8412,1,Other,Other,ufone,telenor,Churned
99,294.59,5.26,1.25,80650.1299,42,20760,5036,1,2G,3G,ufone,ufone,Churned
100,112.56,24.51,20,336878.9902,3,0,537,2,2G,3G,ptcl,ptcl,Churned
101,452.31,40.25,51.25,76293.3242,13,3060,1603,2,2G,3G,zong,ptcl,Churned
103,1122.6644,0,0,4893.3984,187,104508,2717,1,,3G,ptcl,ufone,Churned
108,904.322,155.66,80,799300.8506,84,27197,1790,1,Other,Other,ufone,ufone,Active
110,589.47,130.46,11.25,727.7734,239,2904,8876,4,2G,2G,ptcl,ufone,Active
112,418.4264,0,95,2779944,43,672,3713,2,,,ufone,ufone,Active
113,135.34,0,20,740.4785,19,120,3024,1,,3G,mobilink,zong,Active
113,773.93,14,10,1229.5186,19,0,4391,3,Other,Other,ptcl,mobilink,Churned
115,35.48,0,21.25,1079.5459,1,0,179,2,,3G,ptcl,ptcl,Churned
117,331.41,0,130,422223.292,39,276,3933,2,,,warid,ufone,Churned
117,24.97,0,1.25,2305.0537,15,1224,358,1,2G,2G,ufone,ptcl,Churned
119,144.042,75.26,3.75,32554.6211,5,120,588,3,,,ufone,telenor,Active
120,61.29,3.5,0,0.2998,23,1116,4041,1,2G,2G,telenor,ptcl,Active
121,572.69,53.38,15,448454.5781,107,0,645,4,,3G,0,ufone,Active
123,132.018,5.25,0,0.5215,24,5868,4356,1,Other,Other,ufone,ufone,Churned
125,352.47,81.11,0,22.4756,30,888,13448,1,Other,Other,warid,ptcl,Active
125,740.83,107.9,42.5,217706.7119,103,11760,29829,1,3G,3G,ptcl,ufone,Active
125,2138.6992,1.75,41.25,9014.9473,25,228,5236,1,2G,2G,telenor,zong,Churned
125,444.17,1.76,68.75,1515728.469,79,4152,11553,3,3G,3G,mobilink,ufone,Churned
128,1440.88,0,0,1944.8018,443,0,5147,2,,,zong,ufone,Active
128,109.78,3.51,18.75,5458767.271,9,816,2520,2,3G,3G,zong,zong,Churned
129,217.11,7.73,43.75,74870.207,39,2952,8709,1,3G,3G,mobilink,telenor,Active
129,1877.26,46.11,343.75,3387698.226,121,0,20944,1,3G,3G,ptcl,mobilink,Active
129,1135.52,75.83,40,6615818.753,168,31977,1520,2,3G,3G,ufone,ufone,Churned
132,92.23,0,1.25,6835.9238,11,120,179,1,Other,Other,ufone,ufone,Active
133,1573.6468,0,340,41545929.26,131,1188,6488,1,3G,3G,ptcl,ufone,Active
133,743.82,35.87,0,1881350.401,206,1944,25702,1,3G,,telenor,zong,Churned
134,587.1888,4.37,98.75,12526704.7,43,24,17862,1,3G,3G,mobilink,ptcl,Active
137,3681.44,10.58,6.25,593297.6113,1809,112074,40451,1,3G,2G,telenor,ufone,Active
137,1660.14,3.5,135,16966560.91,626,3312,956,2,3G,3G,mobilink,ufone,Active
137,478.0704,0,7.5,268716.9639,72,4176,537,1,3G,3G,ufone,ufone,Churned
138,958.61,0,2.5,933169.1904,225,0,895,2,3G,3G,mobilink,ufone,Active
138,315.0044,0,201.25,1813914.316,19,0,3587,2,3G,3G,ptcl,ptcl,Churned
139,106.12,2.39,7.5,324231.1182,18,4188,2685,5,,,ufone,ufone,Active
141,810.38,49.58,56.25,210613.8564,78,2988,1653,1,2G,2G,warid,ufone,Active
142,675.89,100.63,141.25,1186735.909,27,4752,3478,1,3G,2G,ufone,ufone,Active
143,290.602,3.5,70,8596182.165,10,120,2033,2,3G,3G,ptcl,ptcl,Active
144,1071.582,10.5,228.75,5393514.878,19,0,4038,1,3G,3G,ptcl,ptcl,Active
145,1723.5444,12.98,128.75,1640686.959,273,42534,21686,4,3G,2G,telenor,ufone,Active
145,496.666,45.52,232.5,194053.3457,11,828,895,1,2G,2G,ufone,ptcl,Churned
145,923.48,0,33.75,1949975.294,192,0,358,1,3G,3G,mobilink,ufone,Churned
148,1100.54,23.61,41.25,602549.9453,334,12432,16804,5,2G,2G,ptcl,ufone,Active
148,189.1836,0,5,250.5811,58,420,4565,2,,,telenor,telenor,Churned
150,454.638,1.75,83.75,842766.9658,6,0,1005,1,3G,3G,mobilink,mobilink,Churned
152,1824.8584,44.48,140,136700.5967,446,61572,9099,1,Other,Other,mobilink,ufone,Active
152,776.0592,28.01,295,7530947.808,76,1248,3680,1,3G,3G,warid,ufone,Churned
153,1069.43,15.75,3.75,1196432.417,234,8076,7247,1,3G,3G,ufone,warid,Active
155,470.09,7,0,1346.6514,11,936,120,1,Other,Other,ufone,ufone,Active
158,792.1144,28.63,108.75,107713.582,101,7296,16636,1,2G,2G,ufone,mobilink,Active
159,682.972,17.94,128.75,5030090.153,5,0,895,2,Other,Other,ptcl,ptcl,Churned
160,3260.04,158.02,195,6432332.881,264,12312,9772,1,3G,3G,ptcl,ufone,Active
162,1095.8508,0,96.25,20744581.69,92,600,19571,1,3G,3G,ptcl,ufone,Churned
164,280.08,1.75,61.25,172211.9473,22,324,4545,1,3G,3G,ufone,ptcl,Active
165,203.3812,7.32,33.75,396747.0527,27,4344,2853,1,3G,3G,ufone,ufone,Churned
167,1386.336,167.44,1.25,685523.2597,344,0,1151,1,,,ufone,ufone,Active
168,263.95,60.83,6.25,539.415,47,1548,4927,2,,,ptcl,ptcl,Churned
170,958.63,48.64,15,23427.8515,119,17184,3195,1,2G,2G,ufone,ufone,Active
172,23.692,13.7,1.25,79.1143,2,0,515,1,3G,3G,ptcl,ptcl,Churned
172,903.6524,550.44,43.75,75459.5733,33,672,4125,1,Other,Other,ptcl,ptcl,Churned
172,442.2904,0.01,248.75,4173532.369,9,0,1375,1,,3G,mobilink,ptcl,Churned
173,459.23,17.95,0,476843.5157,212,0,358,4,3G,3G,zong,zong,Churned
174,156.772,31.94,6.25,201527.4873,23,144,1487,1,2G,2G,mobilink,mobilink,Churned
180,1619.2824,2.4,73.75,17193106.12,237,3210,38853,15,3G,3G,telenor,ufone,Active
185,746.098,105.94,2.5,7210.998,33,1296,4609,2,2G,2G,ptcl,ptcl,Active
187,1877.48,165.06,343.75,1822350.092,168,936,29790,1,3G,3G,zong,warid,Churned
187,770.6644,1.75,6.25,44769.9404,333,9480,4249,2,2G,2G,telenor,ufone,Churned
192,479.72,0,0,12.8662,102,3222,358,7,3G,2G,zong,ufone,Active
200,154.11,26.9,1.25,8.5322,92,1458,6832,2,2G,2G,warid,ufone,Churned
202,1720.3008,4.36,245,3334606.97,163,228,1495,1,3G,3G,telenor,mobilink,Active
203,33.624,11.78,1.25,157.1426,9,144,1437,1,3G,3G,warid,warid,Churned
203,724.01,14.81,12.5,3615.8906,138,17496,23996,1,3G,3G,ptcl,ufone,Churned
204,755.89,8.33,27.5,7473126.807,118,16934,3785,1,3G,3G,ufone,ufone,Active
204,316.04,18.48,30,10995622.09,11,24,2093,1,2G,2G,mobilink,ptcl,Churned
206,455.07,0,137.5,64054568.84,12,0,2277,1,3G,3G,warid,mobilink,Churned
207,88.89,18.31,5,365.0967,22,0,3568,1,3G,3G,ptcl,zong,Churned
208,968.162,164.05,356.25,266447.6875,8,0,1959,1,3G,3G,zong,zong,Churned
209,326.38,38.6,30,11455.9649,68,1200,14008,1,3G,3G,mobilink,ptcl,Churned
210,1413.38,7,12.5,37982304.31,120,1518,18050,1,,3G,ufone,ufone,Active
211,2841.16,35.87,90,1032632.521,714,21714,114244,3,3G,3G,telenor,ufone,Churned
212,2609.28,117.86,0,395.582,841,27996,8520,1,2G,2G,ufone,ufone,Active
214,226.308,8.75,33.75,21961600.71,49,114,9032,1,3G,3G,0,zong,Churned
216,642.26,79.61,25,168563.4658,94,2514,19167,1,3G,3G,telenor,warid,Churned
217,493.59,4.97,45,5731.5371,18,11874,3670,9,3G,3G,ufone,ufone,Churned
221,230.008,40.35,1.25,47568.4531,35,228,7902,1,3G,3G,warid,telenor,Churned
223,300.938,0,73.75,59700.0996,14,834,1188,2,,,ufone,ufone,Active
223,946.016,7,56.25,37142039.56,79,4734,9484,2,,,zong,ufone,Active
